job title,location,requerments
Data Scientist (AI) Engineer (Remote),"Talent 360
Cairo · Egypt",About Us: SiFi is a corporate expense management platform designed to empower /accounting teams with seamless control over corporate… 
Sr. Network Data Scientist (VOIS),"Vodafone
Cairo · Egypt","Virtual infrastructure & OSS infrastructure AI & ML activities, in the ... selection based on business and engineering constraints - model scaling and deployment ... "
Sr. Data Scientist (VOIS),"Vodafone
Cairo · Egypt","Role Purpose: The role of Data Scientist is to Design & Develop analytical models & insight packs to support Local markets,… "
Senior Data Scientist - 218200,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Senior Data Scientist - 218200,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Senior Data Scientist - 218200,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Senior Data Scientist - 218200,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Data Scientist,"SSC
Egypt","Supports the marketing team in defining how digital performance is measured through conducting, analyzing and measuring performance… "
Data Scientist,"Siemens
Egypt","world, Siemens has stood for engineering excellence, innovation, quality, and reliability ... , statistical, and AI models. Collaborate with engineering teams to transition AI... "
Data Science Engineer (Java Stack),"ARPUPLUS
Egypt",Position Summary: We are seeking a skilled Data Science Engineer with expertise in the Java stack to join our team. The ideal candidate… 
Team Lead Data Scientist,"swatX Solutions
Egypt","closely communicating with the data engineering team through providing end-to ... . Work closely with the data engineering team to design, build, and ... "
Data Scientist,"swatX Solutions
Egypt",SWATX is seeking a Data Scientist to analyze data and extract actionable insights that inform business decisions. This position entails… 
Mid-Senior Data Scientist & AI/ML Engineer,"Kalasko
El Gouna · Egypt","AI/ML Engineer focusing on time series, NLP, TensorFlow, and data engineering ... to the full data and AI pipeline within a startup environment ... "
Senior Data Scientist,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Senior Python developer - Machine learning Background,"Misr Technology Services
Cairo · Egypt","As a Senior Python Developer with Data Science expertise, you will design and implement advanced server-side components, create scalable… "
Python Developer,"Nagwa Limited
Egypt",Python Developer Egypt Full time Technology In-office We are looking to hire an experienced Python Developer to join us in our mission… 
Python Developer,"ECONSTRUCT DESIGN & BUILD Pvt Ltd.
Cairo · Egypt","e.construct We are an engineering firm that specializes in providing ... elegant engineering solutions for complex challenges. e ... , high-rise design, precast concrete engineering "
Big Data Engineer,"GIZA Systems
Cairo · Egypt","Job Overview: Builds what the big data solutions architect has designed. Big data engineers develop, maintain, test and evaluate big… "
Technical Product Manager,"Whitecollars
Cairo · Egypt","Company Description Our Client is a powerful digital platform designed to elevate employee and client loyalty, well-being, and productivity… "
Platform Product Manager,"Instabug
Cairo · Egypt","Job Purpose Our vision for Instabug’s Platform is to empower mobile teams with a rock-solid foundation, think SDKs that just work,… "
Data Scientist (AI) Engineer (Remote),"Talent 360
Cairo · Egypt",About Us: SiFi is a corporate expense management platform designed to empower /accounting teams with seamless control over corporate… 
Sr. Network Data Scientist (VOIS),"Vodafone
Cairo · Egypt","Virtual infrastructure & OSS infrastructure AI & ML activities, in the ... selection based on business and engineering constraints - model scaling and deployment ... "
Sr. Data Scientist (VOIS),"Vodafone
Cairo · Egypt","Role Purpose: The role of Data Scientist is to Design & Develop analytical models & insight packs to support Local markets,… "
Senior Data Scientist - 218200,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Senior Data Scientist - 218200,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Senior Data Scientist - 218200,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Senior Data Scientist - 218200,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Data Scientist,"SSC
Egypt","Supports the marketing team in defining how digital performance is measured through conducting, analyzing and measuring performance… "
Data Scientist,"Siemens
Egypt","world, Siemens has stood for engineering excellence, innovation, quality, and reliability ... , statistical, and AI models. Collaborate with engineering teams to transition AI... "
Data Science Engineer (Java Stack),"ARPUPLUS
Egypt",Position Summary: We are seeking a skilled Data Science Engineer with expertise in the Java stack to join our team. The ideal candidate… 
Team Lead Data Scientist,"swatX Solutions
Egypt","closely communicating with the data engineering team through providing end-to ... . Work closely with the data engineering team to design, build, and ... "
Data Scientist,"swatX Solutions
Egypt",SWATX is seeking a Data Scientist to analyze data and extract actionable insights that inform business decisions. This position entails… 
Mid-Senior Data Scientist & AI/ML Engineer,"Kalasko
El Gouna · Egypt","AI/ML Engineer focusing on time series, NLP, TensorFlow, and data engineering ... to the full data and AI pipeline within a startup environment ... "
Senior Data Scientist,"Teradata
Cairo · Egypt","Senior Data Scientist - 218200 Job Link Copied What the role is about: As a Senior Data Scientist at Teradata, you will lead data… "
Senior Python developer - Machine learning Background,"Misr Technology Services
Cairo · Egypt","As a Senior Python Developer with Data Science expertise, you will design and implement advanced server-side components, create scalable… "
Python Developer,"Nagwa Limited
Egypt",Python Developer Egypt Full time Technology In-office We are looking to hire an experienced Python Developer to join us in our mission… 
Python Developer,"ECONSTRUCT DESIGN & BUILD Pvt Ltd.
Cairo · Egypt","e.construct We are an engineering firm that specializes in providing ... elegant engineering solutions for complex challenges. e ... , high-rise design, precast concrete engineering "
Big Data Engineer,"GIZA Systems
Cairo · Egypt","Job Overview: Builds what the big data solutions architect has designed. Big data engineers develop, maintain, test and evaluate big… "
Technical Product Manager,"Whitecollars
Cairo · Egypt","Company Description Our Client is a powerful digital platform designed to elevate employee and client loyalty, well-being, and productivity… "
Platform Product Manager,"Instabug
Cairo · Egypt","Job Purpose Our vision for Instabug’s Platform is to empower mobile teams with a rock-solid foundation, think SDKs that just work,… "
